Id,CodProv,CA,Porc,Superficie
1,1,16,6.44257703081232,37.0926944663086
2,1,16,7.46588693957115,179.911447932739
3,1,16,1.19840213049268,137.706565380493
4,1,16,5.97826086956522,51.3007780101318
5,1,16,5.12820512820513,23.8028848815918
6,1,16,3.06435137895812,107.422965859497
7,1,16,5.2760736196319,118.008144150635
8,1,16,3.76782077393075,264.340321733643
9,1,16,1.94805194805195,17.2068012355957
10,1,16,2.6578073089701,182.865233474854
11,1,16,5.56792873051225,66.683914673584
12,1,16,4.00801603206413,242.118724943237
13,1,16,5.85457979225685,157.734527973022
14,1,16,2.72148233931673,190.689591114746
15,1,16,1.0752688172043,23.0116112509766
16,1,16,3.80434782608696,193.73803899939
17,1,16,3.26797385620915,58.4134613643799
18,1,16,6.3681592039801,29.9920604295654
19,1,16,3.94366197183099,32.2041269476318
20,1,16,3.11284046692607,87.1948946575928
21,1,16,8.35616438356164,70.8503873028564
22,1,16,2.38095238095238,89.5209621834717
23,1,16,4.0595399188092,148.369417903687
24,1,16,6.16740088105727,44.5842711966553
25,1,16,6.10328638497653,10.9599505217285
26,1,16,3.77358490566038,17.913393916748
27,1,16,7.5225126290358,70.3492009631348
28,1,16,3.601108033241,227.871650605103
29,1,16,4.36681222707424,16.1837080426025
30,1,16,2.65486725663717,16.5709257366943
31,1,16,5.46541417591802,57.4436005770264
32,1,16,11.9362597714973,83.1203326367188
33,1,16,2.23048327137546,114.48821644812
34,1,16,3.48993288590604,222.72603058667
35,1,16,5.32150776053215,47.0670249719238
36,1,16,2.51572327044025,40.3068106057129
37,1,16,8.50551654964895,70.4260902670898
38,1,16,1.32013201320132,15.9175897192383
39,1,16,4.46304044630404,158.4176627052
40,1,16,4.92905153099328,113.992452992188
41,1,16,4.33497536945813,443.525329817505
42,1,16,3.37552742616034,70.9192949138184
43,1,16,4.79452054794521,15.6423864829102
44,1,16,5.66685746994848,86.1969761887207
45,1,16,7.25737223771021,516.113835851563
46,1,16,2.97397769516729,34.352679251709
47,1,16,4.25531914893617,25.6758168608398
48,1,16,7.03517587939699,73.2250212608643
49,1,16,2.89484887186037,228.929621214478
50,1,16,5.90214067278287,99.445060637207
51,1,16,4.39189189189189,126.006607545898
52,2,8,7.09592641261498,51.3267712263794
53,2,8,11.6838487972509,106.111394296997
54,2,8,9.48348856900931,1890.07785859308
55,2,8,10.3641456582633,50.0155437808838
56,2,8,13.0985915492958,120.454624614075
57,2,8,12.9360465116279,163.569187942993
58,2,8,8.87428101889893,244.7218161922
59,2,8,11.8933697881066,609.630059674072
60,2,8,10.5967741935484,878.009861059631
61,2,8,11.7955439056356,295.829936358643
62,2,8,8.11594202898551,240.490211694946
63,2,8,10.8695652173913,107.687272898376
64,2,8,6.45161290322581,127.529964746338
65,2,8,7.02576112412178,228.963990278076
66,2,8,14.0830267997898,315.063297925293
67,2,8,19.2429022082019,148.493706040771
68,2,8,14.3478260869565,272.092075575195
69,2,8,10.0623330365093,206.70474712207
70,2,8,12.0110764970578,832.066514710449
71,2,8,8.88030888030888,125.33250027594
72,2,8,10.4704097116844,147.945999182007
73,2,8,9.47368421052632,184.964975376099
74,2,8,8.86850152905199,208.878818735474
75,2,8,10.0987925356751,172.657747038269
76,2,8,10.4992585269402,232.884172194458
77,2,8,10.0498338870432,105.775299876831
78,2,8,5.98290598290598,156.197169598877
79,2,8,15.8273381294964,23.6101665325928
80,2,8,9.39597315436242,1123.83185665149
81,2,8,14.7130153597413,391.132884322144
82,2,8,16.0919540229885,205.626235737183
83,2,8,10.9677419354839,39.9932274552612
84,2,8,12.5097125097125,219.370510295166
85,2,8,9.16844349680171,180.825588524231
86,2,8,9.40613790354723,227.456905225098
87,2,8,12.6126126126126,47.0304287817993
88,2,8,12.7091620368848,1276.05586859985
89,2,8,12.9411764705882,104.962129490234
90,2,8,6.38297872340426,340.337489256042
91,2,8,7.50750750750751,189.76447242157
92,2,8,11.6710875331565,113.209520339905
93,2,8,15.51901336074,428.850840535522
94,2,8,10.9739368998628,597.60932518335
95,2,8,18.608287724785,510.121466458862
96,2,8,9.8051809034468,122.356458422546
97,2,8,10.1845018450184,180.34509456543
98,2,8,3.30578512396694,170.895735214966
99,2,8,9.07323395981854,116.509221339478
100,2,8,13.2138857782755,234.739828388672
101,2,8,3.7037037037037,41.3045349614868
102,2,8,7.93499043977056,292.853653514587
103,2,8,11.2727272727273,39.6817540696411
104,2,8,9.92555831265509,381.32613299939
105,2,8,9.90476190476191,70.6327457233276
106,2,8,12.6620900076278,705.684507609497
107,2,8,9.52155376598768,89.2244425881958
108,2,8,12.8819157720892,403.394404199219
109,2,8,11.7333333333333,184.138542921387
110,2,8,10.2102102102102,310.924517926453
111,2,8,10.5042016806723,261.301054208862
112,2,8,7.01262272089762,123.035043039856
113,2,8,11.8790496760259,81.2849290541992
114,2,8,11.1896348645465,224.579248218201
115,2,8,11.0024449877751,134.453390346313
116,2,8,11.6760828625235,220.668357973511
117,2,8,11.4695340501792,49.5154971133423
118,2,8,11.5602836879433,132.253069747681
119,2,8,8.46153846153846,197.873137552734
120,2,8,9.62661925323851,664.448078482117
121,2,8,6.88336520076482,81.15805599646
122,2,8,13.0681818181818,137.003959991089
123,2,8,16.6025288620121,225.654362273682
124,2,8,12.2600619195046,354.899790489685
125,2,8,9.74175402710304,533.098031612915
126,2,8,8.60323886639676,117.730163374634
127,2,8,12.7717391304348,209.83348122644
128,2,8,12.6984126984127,95.9215227589111
129,2,8,5.49645390070922,78.1069968480225
130,2,8,8.843704066634,214.377873000916
